begins_at,open_price,close_price,high_price,low_price,volume
2021-01-29T21:40:00Z,135.490000,135.500000,135.795000,135.200000,0
2021-01-29T21:40:15Z,135.805000,135.510000,135.815000,135.195000,0
2021-01-29T21:40:30Z,135.215000,135.525000,135.790000,134.799993,0
2021-01-29T21:40:45Z,135.525000,135.625000,135.895000,135.235000,0
2021-01-29T21:41:00Z,135.625000,135.825000,136.070000,135.325000,0
2021-01-29T21:41:15Z,135.825000,135.780000,136.181257,135.500000,0
2021-01-29T21:41:30Z,135.780000,135.710000,136.070000,135.455000,0
2021-01-29T21:41:45Z,135.710000,135.620000,135.965000,135.320000,0
2021-01-29T21:42:00Z,135.620000,135.695000,135.925000,135.315000,0
2021-01-29T21:42:15Z,135.695000,135.695000,135.758520,135.405000,0
2021-01-29T21:42:30Z,135.670000,135.700000,135.990000,135.375000,0
2021-01-29T21:42:45Z,136.025000,135.760000,136.065000,135.370000,0
2021-01-29T21:43:00Z,135.760000,135.695000,136.030000,134.977283,0
2021-01-29T21:43:15Z,135.695000,135.565000,135.955000,135.305000,0
2021-01-29T21:43:30Z,135.565000,135.645000,135.955000,135.270000,0
2021-01-29T21:43:45Z,135.645000,135.820000,136.195000,135.375000,0
2021-01-29T21:44:00Z,135.895000,135.950000,136.325000,135.525000,0
2021-01-29T21:44:15Z,135.950000,135.940000,136.285000,135.650000,0
2021-01-29T21:44:30Z,135.940000,135.800000,136.190000,135.490000,0
2021-01-29T21:44:45Z,135.800000,135.670000,136.040000,135.405000,0
2021-01-29T21:45:00Z,135.670000,135.580000,135.930000,135.300000,0
2021-01-29T21:45:15Z,135.580000,135.610000,135.880000,135.260000,0
2021-01-29T21:45:30Z,135.610000,135.490000,135.885000,135.205000,0
2021-01-29T21:45:45Z,135.490000,135.475000,135.790000,134.760207,0
2021-01-29T21:46:00Z,135.475000,135.340000,135.780000,135.015000,0
2021-01-29T21:46:15Z,135.310000,135.265000,135.650000,134.930000,0
2021-01-29T21:46:30Z,134.925000,135.225000,135.580000,134.905000,0
2021-01-29T21:46:45Z,134.915000,135.310000,135.580000,134.915000,0
2021-01-29T21:47:00Z,135.310000,135.480000,135.805000,135.010000,0
2021-01-29T21:47:15Z,135.815000,135.630000,135.910000,135.140000,0
2021-01-29T21:47:30Z,135.630000,135.505000,135.935000,135.250000,0
2021-01-29T21:47:45Z,135.505000,135.505000,135.785000,135.155000,0
